Variable,Chi2,p_value,dof,cramers_v,significant_05
Same_day,8876.204713742482,0.0,1,0.2834008027511963,True
SMS_received,1769.2954687535523,0.0,1,0.12652827982372,True
Hipertension,140.088148437278,2.5464652812564627e-32,1,0.03560312497306287,True
Scholarship,93.87314247008572,3.3640797488573925e-22,1,0.029144600013126454,True
Weekday_appointment,27.755658669946992,4.062830979177125e-05,5,0.01584758866076957,True
Diabetes,25.206554101010756,5.15068608392477e-07,1,0.015102337121470783,True
Handicap_bin,6.722553459276707,0.00952012295218026,1,0.007799280741170732,True
Gender,1.8357300724579622,0.1754522345307508,1,0.004075602616376525,False
Alcoholism,0.0012738130998226653,0.9715291310004216,1,0.00010735944965331338,False
