Model,best_params,cv_best_roc_auc,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_pr_auc
LogisticRegression,{'clf__C': 0.01},0.7213309730357435,0.5623162180502149,0.29876447876447876,0.8669056688326238,0.44438063515764087,0.7203270460722753,0.3417902993295198
DecisionTree,"{'clf__max_depth': 7, 'clf__min_samples_split': 10}",0.7252993995185815,0.5538565935308754,0.2960024181969319,0.8776607663006946,0.44269891500904157,0.7246228757210497,0.3440530475227907
KNN,{'clf__n_neighbors': 11},0.6983755381595866,0.7855688758199503,0.400431344356578,0.12480394353573829,0.1902972326614281,0.7029278485032167,0.32764921254815954
